ID;n_adults;n_children;weekend_nights;week_nights;meal_plan;car_parking_space;room_type;lead_time;year;month;date;market_segment;repeated_guest;previous_cancellations;previous_bookings_not_canceled;avg_room_price;special_requests;status
INN09579;1;0;1;2;Meal Plan 1;0;Room_Type 1;111;2018;10;10;Offline;0;0;0;120.0;0;0
INN14244;2;0;0;3;Not Selected;0;Room_Type 1;0;2018;8;30;Online;0;0;0;129.0;3;0
INN02060;3;0;1;3;Meal Plan 1;0;Room_Type 4;88;2018;10;10;Online;0;0;0;151.2;0;1
INN17980;2;0;2;2;Meal Plan 1;0;Room_Type 1;2;2018;12;17;Online;0;0;0;81.6;0;0
INN22205;2;0;0;1;Meal Plan 2;0;Room_Type 1;72;2017;9;18;Offline;0;0;0;108.0;0;0
INN34782;2;0;2;1;Not Selected;0;Room_Type 1;57;2017;10;10;Online;0;0;0;78.69;1;0
INN24107;2;0;2;4;Meal Plan 1;0;Room_Type 4;258;2018;8;18;Offline;0;0;0;82.44;0;0
INN06927;2;0;1;3;Not Selected;0;Room_Type 1;70;2018;4;14;Online;0;0;0;89.25;0;1
INN16524;2;0;0;2;Meal Plan 2;0;Room_Type 1;74;2017;9;18;Offline;0;0;0;101.5;0;0
INN14377;2;0;0;0;Meal Plan 1;0;Room_Type 1;256;2017;9;14;Online;0;0;0;0.0;0;1
INN29288;2;0;0;2;Meal Plan 1;0;Room_Type 1;18;2017;12;1;Online;0;0;0;69.0;2;0
INN22899;2;2;1;2;Meal Plan 1;0;Room_Type 6;41;2018;9;5;Online;0;0;0;174.0;0;1
INN21678;2;1;0;2;Meal Plan 2;0;Room_Type 4;4;2018;3;11;Online;0;0;0;183.5;2;0
INN19759;2;0;0;2;Meal Plan 2;0;Room_Type 1;346;2018;9;13;Offline;0;0;0;115.0;1;1
INN34103;1;0;0;1;Not Selected;0;Room_Type 1;53;2018;4;2;Online;0;0;0;75.6;1;0
INN00482;3;0;2;2;Meal Plan 1;0;Room_Type 4;94;2018;7;8;Online;0;0;0;146.7;1;0
INN31224;3;0;1;1;Meal Plan 1;0;Room_Type 4;155;2018;7;16;Online;0;0;0;137.7;1;1
INN18530;3;0;1;0;Not Selected;0;Room_Type 1;0;2018;8;7;Online;0;0;0;98.0;1;0
INN25283;2;0;1;0;Meal Plan 1;0;Room_Type 1;139;2018;6;13;Online;0;0;0;126.9;0;0
INN04874;2;0;2;5;Meal Plan 1;0;Room_Type 1;12;2018;11;13;Online;0;0;0;89.25;3;0
INN08550;3;0;0;2;Meal Plan 1;0;Room_Type 4;12;2018;2;26;Online;0;0;0;127.0;1;1
INN00309;2;0;0;1;Meal Plan 2;0;Room_Type 1;83;2017;9;30;Offline;0;0;0;112.2;0;0
INN01384;2;0;1;3;Meal Plan 1;0;Room_Type 1;30;2017;9;14;Online;0;0;0;94.5;2;0
INN04613;0;2;1;1;Meal Plan 1;0;Room_Type 2;14;2018;8;13;Online;0;0;0;138.05;3;0
INN21148;3;0;2;3;Meal Plan 1;0;Room_Type 4;54;2018;6;17;Online;0;0;0;148.5;2;0
INN30097;2;0;1;2;Meal Plan 1;0;Room_Type 1;0;2018;10;10;Offline;0;0;0;90.0;2;0
INN10988;2;0;0;3;Meal Plan 1;0;Room_Type 1;2;2018;1;7;Online;0;0;0;96.0;1;0
INN08167;2;0;1;2;Meal Plan 1;0;Room_Type 4;189;2018;10;28;Online;0;0;0;109.8;0;1
INN00885;2;0;0;2;Meal Plan 1;0;Room_Type 1;67;2018;9;6;Online;0;0;0;98.1;1;1
INN25252;1;0;0;2;Meal Plan 1;0;Room_Type 1;0;2018;3;1;Corporate;1;1;4;65.0;0;0
INN18701;2;1;0;4;Meal Plan 1;0;Room_Type 4;12;2017;10;6;Offline;0;0;0;123.3;1;0
INN13438;1;0;1;0;Meal Plan 1;0;Room_Type 1;5;2018;5;9;Complementary;1;0;1;0.0;1;0
INN11273;3;0;0;1;Meal Plan 1;1;Room_Type 4;1;2018;5;20;Online;0;0;0;206.0;2;0
INN07041;2;0;1;2;Meal Plan 1;0;Room_Type 4;56;2017;11;6;Offline;0;0;0;60.0;1;0
INN20513;2;0;2;3;Meal Plan 1;0;Room_Type 1;161;2018;7;31;Online;0;0;0;101.15;1;1
INN03716;2;0;0;1;Meal Plan 1;0;Room_Type 1;113;2018;11;11;Offline;0;0;0;90.0;0;0
INN31088;3;0;2;1;Meal Plan 1;0;Room_Type 1;19;2017;10;3;Online;0;0;0;118.67;1;0
INN04751;2;0;0;2;Meal Plan 2;0;Room_Type 1;0;2017;8;14;Offline;0;0;0;109.0;0;0
INN03226;2;0;0;2;Meal Plan 1;0;Room_Type 1;122;2018;4;15;Offline;0;0;0;85.0;0;0
INN29900;2;0;3;9;Meal Plan 1;0;Room_Type 1;0;2017;8;19;Online;0;0;0;106.84;2;0
INN32724;2;1;4;6;Meal Plan 1;0;Room_Type 1;293;2018;12;25;Online;0;0;0;93.67;0;1
INN26088;2;0;2;2;Meal Plan 1;0;Room_Type 4;77;2018;4;16;Online;0;0;0;107.95;0;1
INN29802;2;0;1;0;Meal Plan 1;0;Room_Type 4;21;2018;9;19;Online;0;0;0;164.0;1;1
INN12416;2;0;1;1;Meal Plan 1;0;Room_Type 1;26;2018;11;19;Online;0;0;0;104.0;1;1
INN03639;1;0;0;2;Meal Plan 1;0;Room_Type 1;13;2017;12;17;Corporate;0;0;0;79.0;1;0
INN08774;2;0;2;0;Meal Plan 1;0;Room_Type 1;17;2018;2;7;Online;0;0;0;81.07;1;0
INN35685;2;0;0;3;Meal Plan 1;0;Room_Type 4;48;2018;3;9;Online;0;0;0;105.3;1;0
INN10970;1;0;2;4;Meal Plan 1;0;Room_Type 1;245;2018;7;6;Offline;0;0;0;110.0;0;1
INN23309;1;0;0;1;Meal Plan 1;0;Room_Type 1;2;2018;10;26;Online;0;0;0;104.0;0;0
INN20597;2;0;0;2;Meal Plan 2;0;Room_Type 1;0;2017;8;14;Offline;0;0;0;109.0;0;0
INN27885;2;1;0;1;Meal Plan 1;0;Room_Type 1;135;2018;8;13;Online;0;0;0;130.5;1;0
INN28888;3;0;2;3;Meal Plan 1;0;Room_Type 4;19;2018;2;19;Online;0;0;0;130.0;3;0
INN09285;2;0;2;3;Meal Plan 1;0;Room_Type 1;218;2018;8;20;Online;0;0;0;90.95;1;1
INN32071;2;0;0;3;Not Selected;0;Room_Type 1;17;2018;12;8;Online;0;0;0;92.67;0;0
INN19512;2;0;1;3;Meal Plan 1;0;Room_Type 4;69;2018;4;18;Online;0;0;0;110.08;1;0
INN31917;2;0;1;4;Meal Plan 1;1;Room_Type 4;98;2018;5;4;Online;0;0;0;141.6;1;0
INN22347;2;0;1;5;Meal Plan 1;0;Room_Type 1;93;2018;4;26;Online;0;0;0;105.4;0;0
INN15687;2;0;0;1;Meal Plan 1;0;Room_Type 1;8;2018;11;5;Offline;0;0;0;130.0;0;0
INN05987;2;0;1;0;Meal Plan 1;0;Room_Type 1;258;2018;10;16;Online;0;0;0;110.0;0;1
INN22986;2;0;0;3;Meal Plan 1;0;Room_Type 4;3;2017;10;15;Offline;0;0;0;85.0;0;0
INN30570;2;0;1;2;Not Selected;0;Room_Type 1;38;2018;2;26;Online;0;0;0;61.07;1;0
INN17952;2;0;1;2;Meal Plan 1;0;Room_Type 1;109;2018;5;30;Offline;0;0;0;75.0;0;0
INN05486;2;0;2;2;Meal Plan 1;0;Room_Type 1;226;2018;10;29;Online;0;0;0;70.0;0;1
INN04844;2;0;1;2;Meal Plan 1;0;Room_Type 1;25;2018;10;17;Offline;0;0;0;85.0;0;0
INN35855;1;0;0;1;Meal Plan 1;0;Room_Type 1;8;2018;5;25;Online;0;0;0;89.25;1;0
INN17609;2;0;1;3;Meal Plan 1;0;Room_Type 1;158;2018;6;30;Online;0;0;0;90.95;1;0
INN19094;1;0;0;2;Meal Plan 1;0;Room_Type 1;103;2018;4;19;Offline;0;0;0;115.0;0;1
INN05241;2;0;0;1;Meal Plan 1;0;Room_Type 1;20;2018;6;2;Online;0;0;0;121.0;0;1
INN15996;1;0;2;4;Meal Plan 1;0;Room_Type 1;245;2018;7;6;Offline;0;0;0;110.0;0;1
INN02895;2;0;2;1;Meal Plan 2;0;Room_Type 1;96;2017;7;11;Online;0;0;0;94.5;0;1
INN07210;2;0;2;2;Meal Plan 1;0;Room_Type 1;36;2018;12;18;Online;0;0;0;88.4;1;0
INN11408;1;2;2;2;Meal Plan 1;0;Room_Type 1;4;2018;2;20;Online;0;0;0;111.0;1;0
INN30556;2;0;0;2;Meal Plan 1;0;Room_Type 1;53;2018;11;18;Offline;0;0;0;75.0;0;0
INN10680;2;0;2;1;Meal Plan 2;0;Room_Type 1;124;2017;8;8;Offline;0;0;0;94.5;0;1
INN29307;2;0;1;1;Meal Plan 1;0;Room_Type 4;0;2018;2;13;Online;0;0;0;106.0;0;1
INN15493;2;1;2;1;Meal Plan 1;0;Room_Type 1;68;2018;7;24;Online;0;0;0;121.5;0;1
INN17428;1;0;1;0;Meal Plan 1;0;Room_Type 1;0;2018;6;27;Offline;0;0;0;106.4;0;0
INN34955;3;0;0;4;Meal Plan 1;0;Room_Type 4;99;2018;8;24;Online;0;0;0;150.3;0;1
INN22936;2;1;0;3;Meal Plan 1;0;Room_Type 1;79;2018;12;15;Online;0;0;0;109.8;2;0
INN19543;2;0;0;1;Meal Plan 1;0;Room_Type 1;0;2018;2;18;Online;0;0;0;91.0;0;0
INN34357;2;0;1;3;Meal Plan 2;0;Room_Type 1;99;2018;7;18;Online;0;0;0;141.75;2;0
INN17411;2;0;2;2;Meal Plan 1;0;Room_Type 4;70;2018;4;16;Online;0;0;0;107.95;2;0
INN12144;1;0;0;1;Meal Plan 1;0;Room_Type 4;7;2018;9;13;Online;0;0;0;184.0;2;0
INN03566;2;0;0;2;Not Selected;0;Room_Type 1;22;2018;7;6;Online;0;0;0;139.0;1;0
INN19001;2;0;2;2;Meal Plan 1;0;Room_Type 1;157;2018;8;28;Offline;0;0;0;80.75;2;0
INN08972;2;0;1;3;Meal Plan 1;0;Room_Type 1;285;2018;10;3;Offline;0;0;0;100.0;0;1
INN17019;2;0;1;0;Not Selected;0;Room_Type 1;1;2018;8;7;Online;0;0;0;98.0;0;0
INN11582;2;0;2;3;Meal Plan 1;0;Room_Type 1;19;2018;2;19;Online;0;0;0;93.0;2;0
INN34663;2;0;2;3;Meal Plan 1;0;Room_Type 1;8;2018;11;27;Online;0;0;0;65.54;0;1
INN16518;2;0;0;2;Meal Plan 2;0;Room_Type 1;377;2018;10;14;Offline;0;0;0;115.0;1;1
INN27175;2;0;2;1;Meal Plan 1;0;Room_Type 1;58;2018;4;24;Online;0;0;0;81.08;0;0
INN05965;1;0;0;3;Meal Plan 1;0;Room_Type 1;37;2018;10;13;Offline;0;0;0;95.0;0;0
INN09094;2;0;0;2;Not Selected;0;Room_Type 1;70;2018;10;18;Online;0;0;0;97.2;2;0
INN16729;2;0;1;5;Meal Plan 2;0;Room_Type 1;21;2018;1;4;Offline;0;0;0;92.0;0;0
INN20125;1;0;0;3;Meal Plan 1;0;Room_Type 1;166;2018;11;1;Offline;0;0;0;110.0;0;1
INN32843;3;0;2;3;Meal Plan 1;0;Room_Type 4;39;2018;4;24;Online;0;0;0;138.06;1;1
INN19373;1;0;0;4;Meal Plan 1;0;Room_Type 1;34;2018;8;30;Online;0;0;0;104.4;1;0
INN10210;3;0;0;5;Meal Plan 1;0;Room_Type 4;107;2018;6;28;Online;0;0;0;146.7;2;0
INN16100;2;1;1;1;Meal Plan 1;0;Room_Type 1;0;2018;1;30;Online;0;0;0;110.5;2;0
INN08900;2;0;2;3;Meal Plan 1;0;Room_Type 1;276;2018;5;13;Offline;0;0;0;61.0;0;1
INN25976;2;0;0;3;Not Selected;0;Room_Type 1;25;2018;10;20;Online;0;0;0;119.0;1;0
INN34783;2;0;0;3;Meal Plan 1;0;Room_Type 1;50;2018;1;14;Offline;0;0;0;52.0;1;0
INN16960;2;0;2;5;Not Selected;0;Room_Type 1;173;2018;7;8;Online;0;0;0;80.75;0;1
INN35704;1;0;0;2;Meal Plan 1;0;Room_Type 1;192;2018;6;24;Offline;0;0;0;95.0;0;0
INN18326;2;0;0;1;Meal Plan 2;0;Room_Type 4;19;2018;8;10;Online;0;0;0;204.0;1;0
INN24191;2;0;0;2;Meal Plan 1;0;Room_Type 1;0;2017;10;28;Complementary;1;0;5;0.0;1;0
INN08845;2;2;2;4;Meal Plan 2;0;Room_Type 6;47;2017;10;25;Offline;0;0;0;198.68;1;0
INN09199;2;0;2;0;Not Selected;0;Room_Type 1;22;2018;8;21;Online;0;0;0;139.0;1;1
INN11812;1;0;1;0;Meal Plan 1;0;Room_Type 1;7;2017;11;16;Online;0;0;0;91.0;2;0
INN24925;1;0;1;2;Meal Plan 1;0;Room_Type 1;114;2018;7;1;Offline;0;0;0;75.0;0;1
INN09398;1;0;0;1;Meal Plan 1;1;Room_Type 1;6;2018;11;16;Corporate;1;3;21;67.0;0;0
INN00709;1;0;0;2;Meal Plan 1;0;Room_Type 1;188;2018;6;15;Online;0;0;0;130.0;0;1
INN05043;2;0;0;2;Meal Plan 1;0;Room_Type 1;35;2017;9;18;Online;0;0;0;145.35;1;0
INN11390;2;0;0;5;Meal Plan 1;0;Room_Type 1;140;2017;12;29;Offline;0;0;0;70.0;0;0
INN18362;2;0;1;0;Not Selected;0;Room_Type 1;49;2018;7;11;Online;0;0;0;93.15;0;1
INN14194;2;0;0;3;Meal Plan 1;0;Room_Type 1;304;2018;11;3;Offline;0;0;0;89.0;0;1
INN15810;2;0;2;1;Meal Plan 2;0;Room_Type 1;117;2017;8;1;Offline;0;0;0;94.5;0;1
INN08085;1;0;0;2;Meal Plan 1;0;Room_Type 1;164;2017;10;2;Offline;0;0;0;100.0;0;0
INN28419;2;0;1;2;Not Selected;0;Room_Type 1;30;2018;11;11;Online;0;0;0;87.27;0;0
INN07704;1;0;0;2;Meal Plan 1;0;Room_Type 1;64;2018;5;17;Corporate;0;0;0;130.0;0;0
INN32180;3;0;2;3;Meal Plan 1;0;Room_Type 4;55;2018;5;12;Online;0;0;0;150.45;2;0
INN31341;2;0;1;3;Meal Plan 1;0;Room_Type 2;93;2018;4;4;Online;0;0;0;73.74;0;0
INN09953;2;0;1;2;Meal Plan 1;0;Room_Type 4;25;2017;10;19;Offline;0;0;0;75.0;0;0
INN28067;2;0;0;3;Meal Plan 1;0;Room_Type 1;37;2018;10;13;Offline;0;0;0;105.0;0;0
INN28891;2;0;0;2;Meal Plan 1;0;Room_Type 1;165;2018;10;20;Online;0;0;0;118.8;2;1
INN09806;1;0;0;2;Meal Plan 1;0;Room_Type 1;64;2018;5;17;Corporate;0;0;0;130.0;0;0
INN16222;2;0;2;2;Meal Plan 1;0;Room_Type 1;17;2018;10;7;Online;0;0;0;117.04;1;0
INN01937;1;0;0;3;Meal Plan 1;0;Room_Type 1;58;2018;1;27;Offline;0;0;0;81.0;0;0
INN16042;2;0;0;4;Meal Plan 1;0;Room_Type 1;333;2018;12;21;Online;0;0;0;73.95;0;1
INN09467;1;0;0;2;Meal Plan 1;0;Room_Type 2;132;2018;8;30;Online;0;0;0;70.56;0;0
INN19471;2;1;0;1;Meal Plan 1;0;Room_Type 6;1;2018;2;19;Online;0;0;0;173.0;0;0
INN02758;2;0;0;4;Meal Plan 1;0;Room_Type 1;20;2017;9;2;Online;0;0;0;80.85;2;0
INN09522;1;0;0;3;Meal Plan 1;0;Room_Type 1;0;2018;2;23;Corporate;0;0;0;66.0;0;0
INN05773;1;0;2;5;Meal Plan 1;0;Room_Type 1;93;2018;7;3;Online;0;0;0;108.9;0;1
INN26251;1;0;0;2;Meal Plan 1;0;Room_Type 1;0;2017;9;23;Online;0;0;0;158.0;2;0
INN29785;2;0;0;2;Not Selected;0;Room_Type 1;66;2018;9;2;Online;0;0;0;87.3;2;0
INN05124;2;0;2;7;Not Selected;0;Room_Type 1;4;2017;12;31;Online;0;0;0;90.78;2;0
INN07489;2;0;0;1;Meal Plan 1;0;Room_Type 4;16;2018;9;22;Online;0;0;0;184.0;1;0
INN26947;2;0;0;4;Meal Plan 1;1;Room_Type 4;19;2018;7;5;Online;0;0;0;175.0;2;0
INN03564;2;0;0;3;Meal Plan 1;0;Room_Type 1;279;2018;10;12;Online;0;0;0;110.0;0;1
INN02290;2;0;0;3;Meal Plan 1;0;Room_Type 4;14;2018;4;7;Online;0;0;0;126.0;0;1
INN29295;2;1;0;2;Meal Plan 1;1;Room_Type 4;12;2018;8;24;Online;0;0;0;164.0;3;0
INN09010;2;0;0;2;Meal Plan 1;0;Room_Type 4;7;2018;2;12;Online;0;0;0;106.0;0;1
INN32153;1;0;1;2;Meal Plan 1;0;Room_Type 1;0;2018;3;14;Corporate;0;0;0;79.0;0;0
INN02994;2;1;1;3;Meal Plan 1;0;Room_Type 4;26;2017;10;19;Offline;0;0;0;90.0;2;0
INN21044;2;0;2;1;Meal Plan 1;0;Room_Type 4;34;2017;11;1;Offline;0;0;0;60.0;0;0
INN29535;2;0;1;2;Meal Plan 1;0;Room_Type 4;83;2018;12;26;Online;0;0;0;111.6;1;0
INN04728;1;0;2;4;Meal Plan 1;0;Room_Type 1;245;2018;7;6;Online;0;0;0;110.0;0;1
INN17966;2;0;1;2;Meal Plan 1;0;Room_Type 4;117;2018;10;24;Offline;0;0;0;90.95;0;0
INN24020;2;0;0;1;Meal Plan 1;0;Room_Type 4;19;2018;12;30;Online;0;0;0;148.0;0;0
INN27699;3;0;1;1;Meal Plan 1;0;Room_Type 4;17;2018;7;11;Online;0;0;0;187.0;0;0
